Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
2005,1,23,Jacoby Ellsbury,Outfield,Red Sox,"Oregon St U, OR",22,09/11/83,Left,Left,College,Yes,Short-Season, , , ,Yes,35,165, , , ,Yes,61,281,Yes,67,308,Yes,87,401,Yes,3,250,1155,35,165,35,165,96,446,163,754,250,1155,4.62
1996,29,855,George Davis,Third Base,Athletics,Indian Hills Community College,19,12/25/77,Right,Right,College,No,Rookie,Yes,52,239, , , , , , , , , , , , , , , ,No,1,52,239,52,239,52,239,52,239,52,239,52,239,4.6
2006,10,287,Nicholas Van Str,Outfield,Royals,"St Louis CC Meramec, MO",21,05/22/85,Right,Right,College,No,Rookie,Yes,83,382, , , , , , , , , , , , , , , ,Active,2,83,382,83,382,83,382,83,382,83,382,83,382,4.6
2004,18,526,Darren Ford,Outfield,Brewers,Vineland HS (NJ),19,10/01/85,Right,Right,High School,No,Rookie,Yes,61,277, , , ,Yes,176,820,Yes,72,317, , , , , , ,Active,3,309,1414,61,277,237,1097,309,1414,309,1414,309,1414,4.58
2004,7,195,Fernando Perez,Outfield,Devil Ray,Columbia U (NY),21,04/28/83,Right,Right,College,No,Short-Season, , , ,Yes,69,296,Yes,134,594,Yes,133,641,Yes,102,476, , , ,Active,4,438,2007,69,296,203,890,336,1531,438,2007,438,2007,4.58
1996,44,1296,Patrick Pass,Outfield,Marlins,Tucker HS (GA),19,12/31/77,Right,Right,High School,No,Rookie,Yes,29,160,Yes,16,46, , , , , , , , , , , , ,No,4,45,206,45,206,45,206,45,206,45,206,45,206,4.58
2004,14,411,Timothy Hulett,Second Base,Rangers,Auburn U (AL),21,02/28/83,Left,Right,College,No,Short-Season, , , ,Yes,70,315,Yes,106,491,Yes,77,361,Yes,48,223,Yes,132,595,Active,4,433,1985,70,315,176,806,253,1167,301,1390,433,1985,4.58
2001,44,1313,Tom Eylward,Shortstop,Angels,University of South Florida,22,09/28/79,Right,Right,College,No,Rookie,Yes,7,22, , , ,Yes,21,476,Yes,109,424,Yes,264,1011,Yes,239,1000,Active,7,640,2933,7,22,28,498,137,922,401,1933,640,2933,4.58
2005,36,1095,Rene Tosoni,Outfield,Twins,"Chipola JC, FL",19,07/02/86,Left,Right,College,Yes,Rookie,Yes,63,286, , , ,Yes,2,11, , , , , , , , , ,Active,1,65,297,63,286,65,297,65,297,65,297,65,297,4.57
2005,24,731,Benjamin Ingold,Shortstop,Athletics,"Wake Forest U, NC",23,08/18/82,Right,Right,College,No,Rookie,Yes,54,246, , , , , , , , , , , , , , , ,No,1,54,246,54,246,54,246,54,246,54,246,54,246,4.56
2006,39,1172,Charles Caufield,Outfield,Brewers,U Oklahoma (OK),23,07/06/83,Switch,Right,College,Yes,Rookie,Yes,65,306, , , ,Yes,132,592, , , , , , , , , ,Active,2,197,898,65,306,197,898,197,898,197,898,197,898,4.56
2005,6,198,Jeffrey Corsalet,Outfield,Red Sox,"U Florida, FL",22,02/22/83,Left,Right,College,Yes,Low-A, , , , , , ,Yes,59,282,Yes,125,556,Yes,123,560, , , ,Active,3,307,1398,0,0,59,282,184,838,307,1398,307,1398,4.55
2000,25,737,Kevin Blocker,Shortstop,Rockies,Wofford College,22,08/08/78,Right,Right,College,No,Short-Season, , , ,Yes,20,91, , , , , , , , , , , , ,No,1,20,91,20,91,20,91,20,91,20,91,20,91,4.55
2004,1,15,Stephen Drew,Shortstop,Diamondba,Florida St U (FL),21,03/16/83,Left,Right,College,Yes,High-A, , , , , , , , , ,Yes,38,177,Yes,27,113,Yes,83,383,Yes,2,148,673,0,0,0,0,38,177,65,290,148,673,4.55
1999,17,520,William Gasparin,Shortstop,Rockies,Oklahoma State University,23,11/28/76,Right,Right,College,No,Short-Season, , , ,Yes,62,282, , , , , , , , , , , , ,No,1,62,282,62,282,62,282,62,282,62,282,62,282,4.55
2004,10,282,Christopher Kolk,Outfield,Padres,Rice U (TX),22,03/07/82,Left,Right,College,No,Rookie,Yes,7,33,Yes,30,113,Yes,112,523,Yes,26,126, , , , , , ,No,2,175,795,37,146,149,669,175,795,175,795,175,795,4.54
2005,1,36,Travis Buck,Outfield,Athletics,"Arizona St U, AZ",22,11/18/83,Left,Left,College,Yes,Short-Season, , , ,Yes,9,41,Yes,32,144,Yes,34,145,Yes,50,238,Yes,2,9,Yes,3,127,577,9,41,41,185,75,330,125,568,127,577,4.54
2006,2,60,Brent Brewer,Shortstop,Brewers,"Sandy Creek HS, GA",19,12/19/87,Right,Right,High School,No,Rookie,Yes,45,201, , , ,Yes,127,577, , , , , , , , , ,Active,2,172,778,45,201,172,778,172,778,172,778,172,778,4.52
2005,3,109,Brett Gardner,Outfield,Yankees,"Col Charleston, SC",22,08/24/83,Left,Left,College,No,Short-Season, , , ,Yes,73,335, , , ,Yes,63,278,Yes,109,492,Yes,45,207,Active,2,290,1312,73,335,73,335,136,613,245,1105,290,1312,4.52
2005,6,177,Corey Wimberly,Second Base,Rockies,"Alcorn St U, MS",22,10/26/83,Switch,Right,College,No,Rookie,Yes,67,309, , , , , , ,Yes,87,399,Yes,92,404, , , ,Active,3,246,1112,67,309,67,309,154,708,246,1112,246,1112,4.52
2006,1,33,Emmanuel Burriss,Shortstop,Giants,"Kent St U, OH",21,01/17/85,Switch,Right,College,No,Short-Season, , , ,Yes,65,293,Yes,89,405,Yes,36,160, , , , , , ,Active,2,190,858,65,293,154,698,190,858,190,858,190,858,4.52
2004,15,460,Jeffrey Palumbo,Shortstop,Giants,George Mason U (VA),22,03/06/82,Switch,Right,College,No,Short-Season, , , ,Yes,65,294, , , , , , , , , , , , ,No,1,65,294,65,294,65,294,65,294,65,294,65,294,4.52
1995,1,3,Jose Cruz,Outfield,Mariners,Rice University,21,04/19/74,Switch,Right,College,Yes,Short-Season, , , ,Yes,3,14, , , ,Yes,88,410,Yes,47,208,Yes,72,318,Yes,3,210,950,3,14,3,14,91,424,138,632,210,950,4.52
2003,4,115,Michael Bourn,Outfield,Phillies,U Houston (TX),21,12/27/82,Left,Right,College,Yes,Short-Season, , , ,Yes,35,148,Yes,109,498, , , ,Yes,215,975,Yes,38,174,Yes,4,397,1795,35,148,144,646,144,646,359,1621,397,1795,4.52
2006,4,132,Clayton Fuller,Outfield,Angels,"Smithson Valley HS, TX",19,06/17/87,Switch,Right,High School,No,Rookie,Yes,91,410, , , , , , , , , , , , , , , ,Active,2,91,410,91,410,91,410,91,410,91,410,91,410,4.51
2003,30,887,Eric Young,Second Base,Rockies,Piscataway HS (NJ),18,05/25/85,Switch,Right,High School,No,Rookie,Yes,86,371, , , ,Yes,128,569,Yes,130,613, , , , , , ,Active,4,344,1553,86,371,214,940,344,1553,344,1553,344,1553,4.51
2004,12,370,Kevin Frandsen,Second Base,Giants,San Jose State University,22,05/24/82,Right,Right,College,No,Short-Season, , , ,Yes,25,107, , , ,Yes,75,335,Yes,33,142,Yes,93,435,Yes,3,226,1019,25,107,25,107,100,442,133,584,226,1019,4.51
2006,10,298,Craig Gentry,Outfield,Rangers,"U Arkansas Fayetteville, AR",23,11/29/83,Right,Right,College,No,Short-Season,Yes,3,13,Yes,56,246,Yes,55,248,Yes,51,235, , , , , , ,Active,2,165,742,59,259,114,507,165,742,165,742,165,742,4.5
2005,28,832,Felix Peguero,Outfield,Royals,"Oklahoma Baptist U, OK",21,07/29/84,Right,Right,College,Yes,Rookie,Yes,64,288, , , , , , , , , , , , , , , ,No,1,64,288,64,288,64,288,64,288,64,288,64,288,4.5
2000,6,176,Jamal Strong,Outfield,Mariners,University of Nebraska,22,08/05/78,Right,Right,College,Yes,Short-Season,Yes,2,10,Yes,75,348,Yes,51,224,Yes,81,382,Yes,127,565,Yes,56,235,Yes,4,392,1764,77,358,128,582,209,964,336,1529,392,1764,4.5
2002,8,231,Jeff Salazar,Outfield,Rockies,Oklahoma State University,22,11/24/80,Left,Left,College,Yes,Short-Season, , , ,Yes,72,315,Yes,129,563,Yes,76,357,Yes,127,578,Yes,144,653,Yes,5,548,2466,72,315,201,878,277,1235,404,1813,548,2466,4.5
2006,23,681,Marcos Villezcas,Shortstop,Mariners,"Brigham Young U, UT",23,12/10/83,Switch,Right,College,No,Rookie,Yes,12,55,Yes,34,152, , , , , , , , , , , , ,No,1,46,207,46,207,46,207,46,207,46,207,46,207,4.5
1996,1,9,Mark Kotsay,Outfield,Marlins,Cal State Fullerton University,21,12/02/75,Left,Left,College,No,Low-A, , , , , , ,Yes,17,76, , , ,Yes,114,513, , , ,Yes,2,131,589,0,0,17,76,17,76,131,589,131,589,4.5
2004,26,775,Nicholas Cerulo,Outfield,Royals,Rutgers U (NJ),23,09/14/81,Right,Right,College,No,Rookie,Yes,2,9, , , , , , , , , , , , , , , ,No,1,2,9,2,9,2,9,2,9,2,9,2,9,4.5
2003,7,210,Reggie Willits,Outfield,Angels,U Oklahoma (OK),22,05/30/81,Switch,Right,College,No,Rookie,Yes,59,267, , , , , , ,Yes,135,599,Yes,123,561,Yes,97,437,Yes,4,414,1864,59,267,59,267,194,866,317,1427,414,1864,4.5
1994,31,863,Shannon Coulter,Shortstop,Royals,Texas Christian University,22,10/18/72,Switch,Right,College,Yes,Short-Season, , , ,Yes,30,135, , , , , , , , , , , , ,No,1,30,135,30,135,30,135,30,135,30,135,30,135,4.5
2005,27,810,William Rhymes,Second Base,Tigers,"Col William & Mary, VA",22,04/01/83,Left,Right,College,No,Short-Season, , , ,Yes,61,279,Yes,126,578,Yes,88,385,Yes,39,171, , , ,Active,3,314,1413,61,279,187,857,275,1242,314,1413,314,1413,4.5
2005,4,132,Benjamin Copelan,Outfield,Giants,"U Pittsburgh, PA",22,12/17/83,Left,Left,College,No,Rookie,Yes,18,67,Yes,29,133,Yes,135,610,Yes,106,483, , , , , , ,Active,3,288,1293,47,200,182,810,288,1293,288,1293,288,1293,4.49
2004,6,184,Benjamin Zobrist,Shortstop,Astros,Dallas Baptist U (TX),23,05/26/81,Switch,Right,College,No,Short-Season, , , ,Yes,68,300,Yes,68,310,Yes,42,180,Yes,83,381,Yes,18,82,Yes,3,279,1253,68,300,136,610,178,790,261,1171,279,1253,4.49
2004,1,14,Billy Butler,Third Base,Royals,Wolfson Senior HS (FL),18,04/18/86,Right,Right,High School,No,Rookie,Yes,72,317, , , , , , ,Yes,92,430,Yes,148,654,Yes,57,256,Yes,4,369,1657,72,317,72,317,164,747,312,1401,369,1657,4.49
2006,9,273,David Freese,Third Base,Padres,"U South Alabama, AL",23,04/28/83,Right,Right,College,No,Short-Season, , , ,Yes,18,71,Yes,53,230,Yes,128,592, , , , , , ,Active,2,199,893,18,71,71,301,199,893,199,893,199,893,4.49
1998,16,481,Justin Ross,Outfield,Angels,University of Tennessee,22,12/24/76,Left,Left,College,No,Rookie,Yes,65,301, , , ,Yes,51,237,Yes,22,82, , , , , , ,No,2,138,620,65,301,116,538,138,620,138,620,138,620,4.49
2006,35,1039,Michael Ross,Second Base,Devil Ray,"Northwest Mississippi CC, MS",20,08/11/86,Switch,Right,College,No,Rookie,Yes,57,256, , , , , , , , , , , , , , , ,Active,1,57,256,57,256,57,256,57,256,57,256,57,256,4.49
2005,39,1187,Billy Bell,Outfield,Red Sox,"Nicholls St U, LA",23,10/09/82,Left,Right,College,No,Rookie,Yes,43,179,Yes,23,108,Yes,59,241,Yes,95,446,Yes,34,163, , , ,Active,3,254,1137,66,287,125,528,220,974,254,1137,254,1137,4.48
2006,10,289,Desmond Jennings,Outfield,Devil Ray,"Itawamba JC, MS",20,10/30/86,Right,Right,College,Yes,Rookie,Yes,56,246, , , ,Yes,99,448, , , , , , , , , ,Active,2,155,694,56,246,155,694,155,694,155,694,155,694,4.48
2004,26,776,Donald Schindewo,Second Base,Diamondba,Texas A&M U (TX),23,10/01/81,Left,Right,College,No,Short-Season, , , ,Yes,73,324, , , ,Yes,109,492, , , , , , ,No,2,182,816,73,324,73,324,182,816,182,816,182,816,4.48
2006,3,101,Adam Davis,Shortstop,Indians,"U Florida, FL",22,10/15/84,Switch,Right,College,No,Short-Season, , , ,Yes,66,279,Yes,127,583, , , , , , , , , ,Active,2,193,862,66,279,193,862,193,862,193,862,193,862,4.47
2005,12,362,Adam Rosales,Shortstop,Reds,"Western Michigan U, MI",22,05/20/83,Right,Right,College,No,Rookie,Yes,34,159, , , ,Yes,87,392,Yes,103,447,Yes,67,302, , , ,Active,3,291,1300,34,159,121,551,224,998,291,1300,291,1300,4.47
2003,2,62,Andre Ethier,Outfield,Athletics,Arizona St U (AZ),21,04/10/82,Left,Left,College,Yes,Short-Season, , , ,Yes,10,44,Yes,40,181,Yes,99,464,Yes,131,572,Yes,29,120,Yes,4,309,1381,10,44,50,225,149,689,280,1261,309,1381,4.47
2004,2,65,Dustin Pedroia,Shortstop,Red Sox,Arizona St U (AZ),21,08/17/83,Right,Right,College,No,Low-A, , , , , , ,Yes,12,56,Yes,30,120,Yes,66,298,Yes,162,733,Yes,3,270,1207,0,0,12,56,42,176,108,474,270,1207,4.47
2006,36,1076,Matthew Downs,Third Base,Giants,"Shelton St CC, AL",22,03/19/84,Right,Right,College,Yes,Rookie,Yes,46,196,Yes,73,336, , , , , , , , , , , , ,Active,2,119,532,119,532,119,532,119,532,119,532,119,532,4.47
2004,2,45,Reid Brignac,Shortstop,Devil Ray,St Amant HS (LA),18,01/16/86,Left,Right,High School,No,Rookie,Yes,25,106, , , ,Yes,130,580,Yes,100,455,Yes,161,717, , , ,Active,4,416,1858,25,106,155,686,255,1141,416,1858,416,1858,4.47
2006,1,8,Robert Stubbs,Outfield,Reds,"U Texas Austin, TX",22,10/04/84,Right,Right,College,Yes,Rookie,Yes,56,252, , , ,Yes,129,575, , , , , , , , , ,Active,2,185,827,56,252,185,827,185,827,185,827,185,827,4.47
2005,1,14,Trevor Crowe,Outfield,Indians,"U Arizona, AZ",22,11/17/83,Switch,Right,College,Yes,Short-Season, , , ,Yes,12,58,Yes,46,204,Yes,60,273,Yes,175,775, , , ,Active,3,293,1310,12,58,58,262,118,535,293,1310,293,1310,4.47
1999,13,401,Alfredo Amezaga,Shortstop,Angels,St. Petersburg College,21,01/16/78,Right,Right,College,Yes,Rookie,Yes,8,39,Yes,48,228, , , ,Yes,108,483,Yes,70,307,Yes,177,777,Yes,4,411,1834,56,267,56,267,164,750,234,1057,411,1834,4.46
2005,4,125,Christopher Getz,Second Base,White Sox,"U Michigan, MI",22,08/30/83,Left,Right,College,Yes,Rookie,Yes,6,27, , , ,Yes,55,253, , , ,Yes,202,892, , , ,Active,3,263,1172,6,27,61,280,61,280,263,1172,263,1172,4.46
2003,10,290,Jayce Tingler,Outfield,Blue Jays,U Missouri (MO),23,11/28/80,Left,Left,College,No,Rookie,Yes,62,269,Yes,7,25, , , ,Yes,295,1329,Yes,25,112, , , ,No,4,389,1735,69,294,69,294,364,1623,389,1735,389,1735,4.46
2005,1,45,Jed Lowrie,Second Base,Red Sox,"Stanford U, CA",21,04/17/84,Switch,Right,College,No,Short-Season, , , ,Yes,53,240, , , ,Yes,97,438,Yes,93,408,Yes,40,177,Active,3,283,1263,53,240,53,240,150,678,243,1086,283,1263,4.46
2003,4,119,Joshua Anderson,Outfield,Astros,Eastern Kentucky U (KY),21,08/10/82,Left,Right,College,No,Short-Season, , , ,Yes,74,313,Yes,73,331,Yes,66,293,Yes,257,1183,Yes,132,564,Yes,5,602,2684,74,313,147,644,213,937,470,2120,602,2684,4.46
2004,2,67,Kurt Suzuki,Catcher,Athletics,California St U (CA),21,10/04/83,Right,Right,College,No,Short-Season, , , ,Yes,46,193, , , ,Yes,114,523,Yes,99,444,Yes,55,240,Yes,4,314,1400,46,193,46,193,160,716,259,1160,314,1400,4.46
2000,27,801,Travis Hake,Second Base,Brewers,Carson-Newman College,24,08/11/76,Right,Right,College,No,Rookie,Yes,50,232, , , ,Yes,6,18, , , , , , , , , ,No,2,56,250,50,232,56,250,56,250,56,250,56,250,4.46
2004,14,410,William Fowler,Outfield,Rockies,Milton HS (GA),18,03/22/86,Switch,Right,High School,No,Rookie,Yes,62,252, , , ,Yes,99,458,Yes,65,299, , , , , , ,Active,3,226,1009,62,252,161,710,226,1009,226,1009,226,1009,4.46
2006,3,83,Aaron Bates,First Base,Red Sox,"North Carolina St U, NC",22,03/10/84,Right,Right,College,Yes,Short-Season, , , ,Yes,27,117,Yes,43,174,Yes,98,465,Yes,27,112, , , ,Active,2,195,868,27,117,70,291,168,756,195,868,195,868,4.45
2004,1,21,Gregory Golson,Outfield,Phillies,Connally HS (TX),19,09/17/85,Right,Right,High School,No,Rookie,Yes,47,193, , , ,Yes,182,828,Yes,139,623,Yes,37,158, , , ,Active,4,405,1802,47,193,229,1021,368,1644,405,1802,405,1802,4.45
2004,9,263,Hainley Statia,Shortstop,Angels,Trinity Christian Academy (FL),18,01/19/86,Switch,Right,High School,No,Rookie,Yes,68,308, , , ,Yes,111,480,Yes,176,791, , , , , , ,Active,3,355,1579,68,308,179,788,355,1579,355,1579,355,1579,4.45
2004,17,496,Lorenzo Cain,Outfield,Brewers,Madison County HS (FL),18,04/13/86,Right,Right,High School,No,Rookie,Yes,56,260, , , ,Yes,132,603,Yes,126,533, , , , , , ,Active,3,314,1396,56,260,188,863,314,1396,314,1396,314,1396,4.45
1996,2,42,Mike Caruso,Shortstop,Giants,"Stoneman Douglas HS (Parkland,FL)",19,05/27/77,Left,Right,High School,No,Short-Season, , , ,Yes,73,328, , , ,Yes,136,602, , , , , , ,Yes,2,209,930,73,328,73,328,209,930,209,930,209,930,4.45
1993,15,414,Bill Mueller,Shortstop,Giants,Southwest Missouri State Universit,22,03/17/71,Switch,Right,College,No,Short-Season, , , ,Yes,58,242, , , ,Yes,120,534,Yes,88,383,Yes,147,675,Yes,4,413,1834,58,242,58,242,178,776,266,1159,413,1834,4.44
2004,1,9,Christopher Nels,Shortstop,Rockies,Redan HS (GA),19,09/03/85,Right,Right,High School,No,Rookie,Yes,38,167, , , ,Yes,197,866,Yes,133,600, , , , , , ,Active,4,368,1633,38,167,235,1033,368,1633,368,1633,368,1633,4.44
2005,13,408,Jay Johnson,Outfield,Red Sox,Xavier University,23,12/19/82,Right,Right,College,No,Short-Season, , , ,Yes,60,252,Yes,73,340,Yes,62,292,Yes,117,500, , , ,Active,3,312,1384,60,252,133,592,195,884,312,1384,312,1384,4.44
1992,1,35,Johnny Damon,Outfield,Royals,"Dr. Phillips HS (Orlando,FL)",19,11/05/73,Left,Left,High School,No,Rookie,Yes,50,223, , , ,Yes,127,563,Yes,120,535,Yes,111,490, , , ,Yes,4,408,1811,50,223,177,786,297,1321,408,1811,408,1811,4.44
1993,14,399,Kimera Bartee,Outfield,Orioles,Creighton University,21,07/21/72,Right,Right,College,No,Rookie,Yes,71,332, , , , , , ,Yes,130,570,Yes,53,241,Yes,15,52,Yes,3,269,1195,71,332,71,332,201,902,254,1143,269,1195,4.44
2004,7,213,Sebastien Bouche,Outfield,Mariners,Bethune-Cookman Col (FL),23,10/19/81,Left,Right,College,No,Low-A, , , , , , ,Yes,48,208,Yes,52,255,Yes,169,763,Yes,51,195,Active,3,320,1421,0,0,48,208,100,463,269,1226,320,1421,4.44
2005,1,2,Alex Gordon,Third Base,Royals,"U Nebraska Lincoln, NE",21,02/10/84,Left,Right,College,No,Double-A, , , , , , , , , , , , ,Yes,130,576, , , ,Active,1,130,576,0,0,0,0,0,0,130,576,130,576,4.43
2005,8,259,Austin Jackson,Outfield,Yankees,"Billy Ryan HS, TX",18,02/01/87,Right,Right,High School,No,Rookie,Yes,40,171, , , ,Yes,194,877,Yes,67,284, , , ,Yes,1,5,Active,3,302,1337,40,171,234,1048,301,1332,301,1332,302,1337,4.43
2005,4,121,Brent Lillibridg,Shortstop,Pirates,"U Washington, WA",22,09/18/83,Right,Right,College,No,Short-Season, , , ,Yes,42,191,Yes,74,333,Yes,54,252,Yes,52,237,Yes,87,355,Active,3,309,1368,42,191,116,524,170,776,222,1013,309,1368,4.43
2006,22,657,Daniel Perales,Outfield,Diamondba,"U Southern California, CA",21,03/18/85,Left,Left,College,No,Rookie,Yes,67,290, , , ,Yes,136,609, , , , , , , , , ,Active,2,203,899,67,290,203,899,203,899,203,899,203,899,4.43
1994,28,781,Dave Roberts,Outfield,Tigers,UCLA,22,05/31/72,Left,Left,College,Yes,Short-Season, , , ,Yes,54,207, , , ,Yes,218,976,Yes,233,1064,Yes,94,408,Yes,6,599,2655,54,207,54,207,272,1183,505,2247,599,2655,4.43
1998,13,390,Juan Pierre,Outfield,Rockies,University of South Alabama,21,08/14/77,Left,Left,College,Yes,Short-Season, , , ,Yes,64,283,Yes,140,623, , , ,Yes,107,472,Yes,4,17,Yes,3,315,1395,64,283,204,906,204,906,311,1378,315,1395,4.43
2005,1,1,Justin Upton,Shortstop,Diamondba,"Great Bridge HS, VA",17,08/25/87,Right,Right,High School,No,Low-A, , , , , , ,Yes,113,501,Yes,32,150,Yes,71,306, , , ,Yes,1,216,957,0,0,113,501,145,651,216,957,216,957,4.43
2000,33,984,Kurt Birkins,Outfield,Orioles,Los Angeles Pierce College,20,08/11/80,Left,Left,College,No,Rookie,Yes,11,59,Yes,2,3,Yes,27,144,Yes,53,194,Yes,28,133,Yes,5,25,Yes,6,126,558,13,62,40,206,93,400,121,533,126,558,4.43
1995,2,42,Marlon Anderson,Second Base,Phillies,University of South Alabama,21,01/06/74,Left,Right,College,No,Short-Season, , , ,Yes,74,327, , , ,Yes,60,271,Yes,212,935,Yes,136,603,Yes,4,482,2136,74,327,74,327,134,598,346,1533,482,2136,4.43
